model,test_season,config_chosen_on_prior_seasons,games,brier,log_loss,accuracy
Bounded SRDiff [fixed K],2022,linear_b10_dz0.00_f0.75-c2.50|fixed,776,0.205471,0.597153,0.66881
Bounded SRDiff [fixed K],2023,linear_b10_dz0.00_f0.75-c2.50|fixed,792,0.190732,0.561626,0.69697
Bounded SRDiff [fixed K],2024,linear_b10_dz0.00_f0.75-c2.50|fixed,798,0.205029,0.592068,0.66792
Bounded SRDiff [fixed K],2025,linear_b10_dz0.00_f0.75-c2.50|fixed,808,0.188995,0.554982,0.71411
Bounded SRDiff [fixed K],2026,linear_b10_dz0.00_f0.75-c2.50|fixed,157,0.161427,0.50174,0.78344
Nonlinear SRDiff [normalized K],2011,exp_b5_dz0.03|norm,715,0.183414,0.540888,0.71608
Nonlinear SRDiff [normalized K],2012,exp_b4_dz0.00|norm,732,0.178406,0.528127,0.73907
Nonlinear SRDiff [normalized K],2013,exp_b4_dz0.01|norm,737,0.166105,0.496283,0.74491
Nonlinear SRDiff [normalized K],2014,exp_b4_dz0.01|norm,760,0.186051,0.546043,0.71316
Nonlinear SRDiff [normalized K],2015,exp_b4_dz0.01|norm,765,0.170818,0.511516,0.74902
Nonlinear SRDiff [normalized K],2016,exp_b4_dz0.00|norm,760,0.19207,0.561838,0.70789
Nonlinear SRDiff [normalized K],2017,exp_b4_dz0.00|norm,776,0.192732,0.563814,0.68686
Nonlinear SRDiff [normalized K],2018,exp_b4_dz0.01|norm,772,0.177408,0.527329,0.73705
Nonlinear SRDiff [normalized K],2019,exp_b4_dz0.00|norm,774,0.177661,0.52602,0.73127
Nonlinear SRDiff [normalized K],2020,exp_b4_dz0.00|norm,534,0.193064,0.570268,0.70412
Nonlinear SRDiff [normalized K],2021,exp_b4_dz0.00|norm,770,0.189131,0.554841,0.7026
Nonlinear SRDiff [normalized K],2022,exp_b4_dz0.00|norm,776,0.205675,0.60049,0.6701
Nonlinear SRDiff [normalized K],2023,exp_b4_dz0.01|norm,792,0.187723,0.553921,0.71212
Nonlinear SRDiff [normalized K],2024,exp_b4_dz0.01|norm,798,0.204212,0.591711,0.67669
Nonlinear SRDiff [normalized K],2025,exp_b4_dz0.02|norm,808,0.185317,0.545264,0.71782
Nonlinear SRDiff [normalized K],2026,exp_b4_dz0.02|norm,157,0.158799,0.497057,0.79618
Nonlinear SRDiff [fixed K],2011,exp_b6_dz0.00|fixed,715,0.185478,0.546729,0.71329
Nonlinear SRDiff [fixed K],2012,exp_b6_dz0.00|fixed,732,0.182375,0.536858,0.72131
Nonlinear SRDiff [fixed K],2013,exp_b6_dz0.00|fixed,737,0.16784,0.501522,0.74084
Nonlinear SRDiff [fixed K],2014,exp_b6_dz0.00|fixed,760,0.184791,0.542369,0.71842
Nonlinear SRDiff [fixed K],2015,exp_b6_dz0.00|fixed,765,0.171866,0.515366,0.74902
Nonlinear SRDiff [fixed K],2016,exp_b6_dz0.00|fixed,760,0.193246,0.565762,0.7
Nonlinear SRDiff [fixed K],2017,exp_b6_dz0.00|fixed,776,0.193554,0.566519,0.69459
Nonlinear SRDiff [fixed K],2018,exp_b6_dz0.00|fixed,772,0.17877,0.533071,0.72539
Nonlinear SRDiff [fixed K],2019,exp_b6_dz0.00|fixed,774,0.179938,0.532283,0.7261
Nonlinear SRDiff [fixed K],2020,exp_b6_dz0.00|fixed,534,0.19419,0.573522,0.70225
Nonlinear SRDiff [fixed K],2021,exp_b5_dz0.00|fixed,770,0.190265,0.557333,0.69481
Nonlinear SRDiff [fixed K],2022,exp_b5_dz0.00|fixed,776,0.204473,0.595999,0.66495
Nonlinear SRDiff [fixed K],2023,exp_b5_dz0.00|fixed,792,0.189948,0.558783,0.70581
Nonlinear SRDiff [fixed K],2024,exp_b5_dz0.00|fixed,798,0.205425,0.593799,0.6792
Nonlinear SRDiff [fixed K],2025,exp_b5_dz0.00|fixed,808,0.187995,0.552059,0.71535
Nonlinear SRDiff [fixed K],2026,exp_b5_dz0.00|fixed,157,0.157966,0.491986,0.78981
Any SR model [normalized K],2011,exp_b5_dz0.03|norm,715,0.183414,0.540888,0.71608
Any SR model [normalized K],2012,linear_b8_dz0.01_f0.75-c2.50|norm,732,0.177425,0.526536,0.74317
Any SR model [normalized K],2013,linear_b8_dz0.01_f0.75-c2.50|norm,737,0.16706,0.498318,0.73134
Any SR model [normalized K],2014,linear_b9_dz0.03_f0.75-c2.50|norm,760,0.186419,0.547434,0.71053
Any SR model [normalized K],2015,exp_b4_dz0.01|norm,765,0.170818,0.511516,0.74902
Any SR model [normalized K],2016,exp_b4_dz0.00|norm,760,0.19207,0.561838,0.70789
Any SR model [normalized K],2017,exp_b4_dz0.00|norm,776,0.192732,0.563814,0.68686
Any SR model [normalized K],2018,exp_b4_dz0.01|norm,772,0.177408,0.527329,0.73705
Any SR model [normalized K],2019,exp_b4_dz0.00|norm,774,0.177661,0.52602,0.73127
Any SR model [normalized K],2020,exp_b4_dz0.00|norm,534,0.193064,0.570268,0.70412
Any SR model [normalized K],2021,exp_b4_dz0.00|norm,770,0.189131,0.554841,0.7026
Any SR model [normalized K],2022,exp_b4_dz0.00|norm,776,0.205675,0.60049,0.6701
Any SR model [normalized K],2023,exp_b4_dz0.01|norm,792,0.187723,0.553921,0.71212
Any SR model [normalized K],2024,exp_b4_dz0.01|norm,798,0.204212,0.591711,0.67669
Any SR model [normalized K],2025,exp_b4_dz0.02|norm,808,0.185317,0.545264,0.71782
Any SR model [normalized K],2026,exp_b4_dz0.02|norm,157,0.158799,0.497057,0.79618
