config,family,k_mode,K,shape,beta,dead_zone,floor,ceiling,sat_A,games,brier,log_loss,accuracy
linear_b7_dz0.05|norm,Dead-zone SRDiff,normalized,62.554,linear,7,0.05,,,,11426,0.185645,0.546991,0.71355
linear_b7_dz0.05|fixed,Dead-zone SRDiff,fixed,35,linear,7,0.05,,,,11426,0.188148,0.55433,0.70961
linear_b8_dz0.01|norm,Dead-zone SRDiff,normalized,54.786,linear,8,0.01,,,,11426,0.186075,0.548446,0.71425
linear_b8_dz0.01|fixed,Dead-zone SRDiff,fixed,35,linear,8,0.01,,,,11426,0.187288,0.551697,0.71285
linear_b8_dz0.02|norm,Dead-zone SRDiff,normalized,56.124,linear,8,0.02,,,,11426,0.185928,0.547978,0.71495
linear_b8_dz0.02|fixed,Dead-zone SRDiff,fixed,35,linear,8,0.02,,,,11426,0.187366,0.551952,0.71197
linear_b8_dz0.03|norm,Dead-zone SRDiff,normalized,57.487,linear,8,0.03,,,,11426,0.18582,0.547612,0.71416
linear_b8_dz0.03|fixed,Dead-zone SRDiff,fixed,35,linear,8,0.03,,,,11426,0.187486,0.552318,0.7111
linear_b8_dz0.04|norm,Dead-zone SRDiff,normalized,58.877,linear,8,0.04,,,,11426,0.185732,0.547316,0.71355
linear_b8_dz0.04|fixed,Dead-zone SRDiff,fixed,35,linear,8,0.04,,,,11426,0.187629,0.552755,0.71031
linear_b8_dz0.05|norm,Dead-zone SRDiff,normalized,60.297,linear,8,0.05,,,,11426,0.185672,0.547109,0.7132
linear_b8_dz0.05|fixed,Dead-zone SRDiff,fixed,35,linear,8,0.05,,,,11426,0.187799,0.553274,0.71022
linear_b9_dz0.01|norm,Dead-zone SRDiff,normalized,52.357,linear,9,0.01,,,,11426,0.186275,0.549086,0.71434
linear_b9_dz0.01|fixed,Dead-zone SRDiff,fixed,35,linear,9,0.01,,,,11426,0.187141,0.551221,0.71329
linear_b9_dz0.02|norm,Dead-zone SRDiff,normalized,53.764,linear,9,0.02,,,,11426,0.186103,0.54854,0.71504
linear_b9_dz0.02|fixed,Dead-zone SRDiff,fixed,35,linear,9,0.02,,,,11426,0.187188,0.55138,0.71232
linear_b9_dz0.03|norm,Dead-zone SRDiff,normalized,55.196,linear,9,0.03,,,,11426,0.185962,0.548071,0.71477
linear_b9_dz0.03|fixed,Dead-zone SRDiff,fixed,35,linear,9,0.03,,,,11426,0.187275,0.551647,0.71215
linear_b9_dz0.04|norm,Dead-zone SRDiff,normalized,56.666,linear,9,0.04,,,,11426,0.185837,0.547661,0.71364
linear_b9_dz0.04|fixed,Dead-zone SRDiff,fixed,35,linear,9,0.04,,,,11426,0.187383,0.551986,0.71092
