model,test_season,config_chosen_on_prior_seasons,games,brier,log_loss,accuracy
Any hybrid [fixed K],2011,hyb_exp_g2.5_dz0.04|fixed,715,0.180077,0.533485,0.73287
Any hybrid [fixed K],2012,hyb_linear_g2.5_dz0.04|fixed,732,0.173613,0.516281,0.74044
Any hybrid [fixed K],2013,hyb_exp_g2.0_dz0.02|fixed,737,0.163716,0.489197,0.74898
Any hybrid [fixed K],2014,hyb_exp_g2.75_dz0.04|fixed,760,0.187109,0.548809,0.70526
Any hybrid [fixed K],2015,hyb_exp_g2.75_dz0.04|fixed,765,0.171142,0.509292,0.74641
Any hybrid [fixed K],2016,hyb_exp_g2.75_dz0.04|fixed,760,0.192202,0.562473,0.70263
Any hybrid [fixed K],2017,hyb_exp_g2.5_dz0.04|fixed,776,0.19116,0.560537,0.69201
Any hybrid [fixed K],2018,hyb_exp_g2.25_dz0.04|fixed,772,0.176201,0.522272,0.73575
Any hybrid [fixed K],2019,hyb_linear_g3.0_dz0.04|fixed,774,0.17552,0.520979,0.72868
Any hybrid [fixed K],2020,hyb_linear_g3.0_dz0.04|fixed,534,0.191961,0.570647,0.71161
Any hybrid [fixed K],2021,hyb_exp_g2.0_dz0.02|fixed,770,0.188812,0.556018,0.7026
Any hybrid [fixed K],2022,hyb_linear_g2.5_dz0.02|fixed,776,0.205251,0.599666,0.67397
Any hybrid [fixed K],2023,hyb_linear_g2.5_dz0.04|fixed,792,0.185209,0.548579,0.71591
Any hybrid [fixed K],2024,hyb_linear_g2.5_dz0.04|fixed,798,0.199589,0.581378,0.6792
Any hybrid [fixed K],2025,hyb_exp_g1.75_dz0.02|fixed,808,0.184016,0.542521,0.71906
Any hybrid [fixed K],2026,hyb_linear_g2.5_dz0.04|fixed,157,0.156138,0.490694,0.7707
reshaped MOV,2011,shape_p3.0_c2.2,715,0.181228,0.538422,0.72727
reshaped MOV,2012,shape_p2.0_c2.2,732,0.17423,0.51754,0.73634
reshaped MOV,2013,shape_p2.0_c1.1,737,0.165583,0.49506,0.75441
reshaped MOV,2014,shape_p2.0_c1.1,760,0.189192,0.553958,0.70395
reshaped MOV,2015,shape_p2.0_c2.2,765,0.171534,0.511154,0.73725
reshaped MOV,2016,shape_p2.5_c2.2,760,0.19361,0.565142,0.71053
reshaped MOV,2017,shape_p2.0_c2.2,776,0.190672,0.558054,0.68943
reshaped MOV,2018,shape_p2.0_c2.2,772,0.17656,0.523643,0.73316
reshaped MOV,2019,shape_p2.0_c2.2,774,0.175966,0.522895,0.73256
reshaped MOV,2020,shape_p2.0_c1.1,534,0.191163,0.566922,0.71723
reshaped MOV,2021,shape_p2.0_c1.1,770,0.188856,0.555735,0.7039
reshaped MOV,2022,shape_p2.0_c1.1,776,0.205178,0.596589,0.67397
