team_id,season_year,game_coe_total,bonus_total,season_coe2,games_counted,formula_version
28,1985,3.96646,0.0,3.96646,11,coe2_bonus_v1
54,1985,3.344522,0.0,3.344522,11,coe2_bonus_v1
48,1985,3.325902,0.0,3.325902,11,coe2_bonus_v1
100,1985,3.220618,0.0,3.220618,10,coe2_bonus_v1
27,1985,3.093262,0.0,3.093262,7,coe2_bonus_v1
30,1985,2.998336,0.0,2.998336,8,coe2_bonus_v1
94,1985,2.961773,0.0,2.961773,8,coe2_bonus_v1
104,1985,1.782679,0.0,1.782679,9,coe2_bonus_v1
56,1985,0.0,0.0,0.0,8,coe2_bonus_v1
87,1986,28.542764,0.0,28.542764,12,coe2_bonus_v1
69,1986,25.75105,0.0,25.75105,13,coe2_bonus_v1
127,1986,25.746681,0.0,25.746681,12,coe2_bonus_v1
52,1986,25.353671,0.0,25.353671,12,coe2_bonus_v1
121,1986,24.958,0.0,24.958,13,coe2_bonus_v1
133,1986,24.808959,0.0,24.808959,12,coe2_bonus_v1
16,1986,24.748489,0.0,24.748489,11,coe2_bonus_v1
71,1986,24.577678,0.0,24.577678,13,coe2_bonus_v1
106,1986,23.546799,0.0,23.546799,11,coe2_bonus_v1
6,1986,23.429896,0.0,23.429896,12,coe2_bonus_v1
31,1986,23.312984,0.0,23.312984,12,coe2_bonus_v1
93,1986,22.801943,0.0,22.801943,11,coe2_bonus_v1
15,1986,22.641239,0.0,22.641239,12,coe2_bonus_v1
135,1986,22.352445,0.0,22.352445,11,coe2_bonus_v1
53,1986,22.301342,0.0,22.301342,12,coe2_bonus_v1
129,1986,21.430396,0.0,21.430396,11,coe2_bonus_v1
9,1986,21.300872,0.0,21.300872,9,coe2_bonus_v1
78,1986,21.11913,0.0,21.11913,12,coe2_bonus_v1
11,1986,21.106298,0.0,21.106298,11,coe2_bonus_v1
1,1986,20.488494,0.0,20.488494,12,coe2_bonus_v1
7,1986,20.307369,0.0,20.307369,12,coe2_bonus_v1
116,1986,20.040023,0.0,20.040023,12,coe2_bonus_v1
37,1986,19.892228,0.0,19.892228,11,coe2_bonus_v1
92,1986,19.6434,0.0,19.6434,10,coe2_bonus_v1
122,1986,19.559846,0.0,19.559846,10,coe2_bonus_v1
36,1986,19.547339,0.0,19.547339,11,coe2_bonus_v1
39,1986,19.513965,0.0,19.513965,12,coe2_bonus_v1
18,1986,19.09362,0.0,19.09362,13,coe2_bonus_v1
96,1986,18.456804,0.0,18.456804,11,coe2_bonus_v1
8,1986,18.172743,0.0,18.172743,11,coe2_bonus_v1
123,1986,17.895234,0.0,17.895234,11,coe2_bonus_v1
72,1986,17.874609,0.0,17.874609,12,coe2_bonus_v1
80,1986,17.386327,0.0,17.386327,10,coe2_bonus_v1
77,1986,17.061305,0.0,17.061305,11,coe2_bonus_v1
130,1986,16.816481,0.0,16.816481,12,coe2_bonus_v1
22,1986,16.745268,0.0,16.745268,12,coe2_bonus_v1
114,1986,16.436324,0.0,16.436324,10,coe2_bonus_v1
12,1986,16.136769,0.0,16.136769,11,coe2_bonus_v1
104,1986,15.997865,0.0,15.997865,11,coe2_bonus_v1
70,1986,15.795047,0.0,15.795047,11,coe2_bonus_v1
42,1986,15.763824,0.0,15.763824,11,coe2_bonus_v1
134,1986,15.352977,0.0,15.352977,10,coe2_bonus_v1
105,1986,15.094838,0.0,15.094838,11,coe2_bonus_v1
24,1986,15.053894,0.0,15.053894,11,coe2_bonus_v1
108,1986,14.844674,0.0,14.844674,10,coe2_bonus_v1
88,1986,14.842579,0.0,14.842579,11,coe2_bonus_v1
132,1986,14.734515,0.0,14.734515,11,coe2_bonus_v1
23,1986,14.669836,0.0,14.669836,10,coe2_bonus_v1
126,1986,14.537111,0.0,14.537111,11,coe2_bonus_v1
