season_year,conference,coe2_5yr,window_start_year,window_end_year,seasons_counted,external_games,formula_version
2004,Mountain West,200.14094,1999,2003,5,180,coe2_bonus_v1
2004,Western Athletic,155.598113,1999,2003,5,183,coe2_bonus_v1
2004,Mid-American,132.421082,1999,2003,5,185,coe2_bonus_v1
2004,Sun Belt,41.484144,1999,2003,3,105,coe2_bonus_v1
2004,Big West,36.762274,1999,2003,2,61,coe2_bonus_v1
2005,Big 12,330.951541,2000,2004,5,222,coe2_bonus_v1
2005,SEC,319.379362,2000,2004,5,221,coe2_bonus_v1
2005,Big Ten,305.075948,2000,2004,5,219,coe2_bonus_v1
2005,Pac-10,283.510089,2000,2004,5,189,coe2_bonus_v1
2005,Big East,274.251382,2000,2004,5,188,coe2_bonus_v1
2005,ACC,252.275109,2000,2004,5,177,coe2_bonus_v1
2005,FBS Independents,211.414569,2000,2004,5,214,coe2_bonus_v1
2005,Mountain West,191.807316,2000,2004,5,180,coe2_bonus_v1
2005,Conference USA,183.50143,2000,2004,5,197,coe2_bonus_v1
2005,Western Athletic,159.044616,2000,2004,5,182,coe2_bonus_v1
2005,Mid-American,121.942612,2000,2004,5,192,coe2_bonus_v1
2005,Sun Belt,54.706701,2000,2004,4,138,coe2_bonus_v1
2005,Big West,14.849008,2000,2004,1,29,coe2_bonus_v1
2006,Big 12,326.353731,2001,2005,5,213,coe2_bonus_v1
2006,Big Ten,315.443899,2001,2005,5,216,coe2_bonus_v1
2006,SEC,306.829838,2001,2005,5,213,coe2_bonus_v1
2006,ACC,276.258993,2001,2005,5,188,coe2_bonus_v1
2006,Pac-10,267.354267,2001,2005,5,184,coe2_bonus_v1
2006,Big East,244.019984,2001,2005,5,184,coe2_bonus_v1
2006,FBS Independents,221.932416,2001,2005,5,206,coe2_bonus_v1
2006,Mountain West,186.680212,2001,2005,5,176,coe2_bonus_v1
2006,Conference USA,170.172832,2001,2005,5,195,coe2_bonus_v1
2006,Western Athletic,144.627838,2001,2005,5,180,coe2_bonus_v1
2006,Mid-American,122.161521,2001,2005,5,192,coe2_bonus_v1
2006,Sun Belt,53.87443,2001,2005,5,163,coe2_bonus_v1
2007,SEC,331.478351,2002,2006,5,223,coe2_bonus_v1
2007,Big Ten,326.335345,2002,2006,5,222,coe2_bonus_v1
2007,Big 12,320.038069,2002,2006,5,220,coe2_bonus_v1
2007,ACC,282.299361,2002,2006,5,204,coe2_bonus_v1
2007,Big East,266.850891,2002,2006,5,187,coe2_bonus_v1
2007,Pac-10,257.693046,2002,2006,5,183,coe2_bonus_v1
2007,FBS Independents,225.877461,2002,2006,5,198,coe2_bonus_v1
2007,Mountain West,184.290297,2002,2006,5,175,coe2_bonus_v1
