end_year,window_start,window_end,team_name,coeff_5yr
2020,2016,2020,Baylor,4.680442
2020,2016,2020,South Carolina,4.665614
2020,2016,2020,Minnesota,4.595518
2020,2016,2020,Missouri,4.400473
2020,2016,2020,UCF,4.160438
2020,2016,2020,Wake Forest,4.132391
2020,2016,2020,Virginia,4.015802
2020,2016,2020,Georgia Tech,4.01206
2020,2016,2020,Louisiana,3.9809
2020,2016,2020,Louisville,3.978248
2020,2016,2020,Duke,3.948638
2020,2016,2020,Syracuse,3.828031
2020,2016,2020,California,3.782466
2020,2016,2020,Boise State,3.650868
2020,2016,2020,Ole Miss,3.492281
2020,2016,2020,BYU,3.447809
2020,2016,2020,Boston College,3.414663
2020,2016,2020,Texas Tech,3.394972
2020,2016,2020,Purdue,3.325551
2020,2016,2020,San Diego State,3.23222
2020,2016,2020,Colorado,3.229547
2020,2016,2020,Cincinnati,3.149073
2020,2016,2020,UCLA,2.853602
2020,2016,2020,Navy,2.782625
2020,2016,2020,Memphis,2.700198
2020,2016,2020,Nebraska,2.479434
2020,2016,2020,Army,2.469089
2020,2016,2020,Arkansas,2.468476
2020,2016,2020,Coastal Carolina,2.420218
2020,2016,2020,Air Force,2.408072
2020,2016,2020,Arizona,2.294352
2020,2016,2020,Hawai'i,2.270447
2020,2016,2020,Troy,2.202263
2020,2016,2020,Fresno State,2.181536
2020,2016,2020,Indiana,2.160161
2020,2016,2020,South Florida,2.095005
2020,2016,2020,Vanderbilt,2.047637
2020,2016,2020,Houston,2.040056
2020,2016,2020,Liberty,2.025162
2020,2016,2020,Western Michigan,1.983258
2020,2016,2020,Maryland,1.947709
2020,2016,2020,Temple,1.865861
2020,2016,2020,Ohio,1.77861
2020,2016,2020,Arkansas State,1.730073
2020,2016,2020,Oregon State,1.729836
2020,2016,2020,SMU,1.67412
2020,2016,2020,Miami (OH),1.63981
2020,2016,2020,Louisiana Tech,1.607721
2020,2016,2020,Northern Illinois,1.575443
2020,2016,2020,Eastern Michigan,1.52347
2020,2016,2020,Toledo,1.518036
2020,2016,2020,Buffalo,1.473848
2020,2016,2020,Tulsa,1.441904
2020,2016,2020,Illinois,1.396025
2020,2016,2020,Wyoming,1.28452
2020,2016,2020,Western Kentucky,1.282474
2020,2016,2020,Central Michigan,1.215565
2020,2016,2020,Middle Tennessee,1.204481
2020,2016,2020,Tulane,1.157663
2020,2016,2020,Nevada,1.147361
2020,2016,2020,Georgia Southern,1.14452
2020,2016,2020,Utah State,1.082207
2020,2016,2020,Marshall,1.068423
2020,2016,2020,UAB,1.062751
2020,2016,2020,South Alabama,1.02207
2020,2016,2020,Georgia State,0.992779
2020,2016,2020,Rutgers,0.954868
2020,2016,2020,Ball State,0.904145
2020,2016,2020,Kent State,0.853299
2020,2016,2020,North Texas,0.817552
2020,2016,2020,Akron,0.813744
2020,2016,2020,Southern Miss,0.808616
2020,2016,2020,UNLV,0.773485
2020,2016,2020,Kansas,0.713125
2020,2016,2020,New Mexico,0.667639
2020,2016,2020,East Carolina,0.632621
2020,2016,2020,Old Dominion,0.629154
2020,2016,2020,Colorado State,0.615173
2020,2016,2020,UTSA,0.565541
2020,2016,2020,Texas State,0.488386
2020,2016,2020,San Jose State,0.478047
2020,2016,2020,Bowling Green,0.417212
2020,2016,2020,Charlotte,0.383214
2020,2016,2020,New Mexico State,0.330251
2020,2016,2020,UConn,0.179633
2020,2016,2020,Rice,0.171715
2020,2016,2020,UTEP,0.164422
2021,2017,2021,Alabama,29.414857
2021,2017,2021,Georgia,20.290859
2021,2017,2021,Oklahoma,16.792028
2021,2017,2021,Clemson,16.497369
2021,2017,2021,Ohio State,14.683159
2021,2017,2021,Oklahoma State,14.398233
2021,2017,2021,LSU,13.532547
2021,2017,2021,Iowa State,12.39722
2021,2017,2021,Notre Dame,11.296776
2021,2017,2021,Texas,11.163876
2021,2017,2021,Auburn,10.697727
2021,2017,2021,Texas A&M,9.824684
2021,2017,2021,TCU,9.008933
2021,2017,2021,Iowa,8.52486
2021,2017,2021,Florida,8.218612
2021,2017,2021,Kansas State,8.142413
