Team-specific HFA validation report -- as of 2026-09-21
national FBS baseline H_FBS = 1.1278  (1.0000 would mean home teams win exactly as often as neutral Elo expects)
138 teams

== adjusted_hfa DESC ==
team                            raw  adjusted    N_eff  lambda  baseline  games
Arizona                      1.1621    1.1524     76.1   0.717    1.1278    269
Indiana                      1.1597    1.1508     77.7   0.721    1.1278    264
UAB                          1.1632    1.1507     54.5   0.645    1.1278    130
Texas A&M                    1.1581    1.1500     83.0   0.734    1.1278    272
Temple                       1.1534    1.1458     70.2   0.701    1.1278    218
North Texas                  1.1534    1.1451     63.0   0.677    1.1278    154
Oklahoma                     1.1501    1.1442     82.8   0.734    1.1278    280
Marshall                     1.1517    1.1440     63.3   0.678    1.1278    149
Clemson                      1.1484    1.1428     79.4   0.726    1.1278    259
Notre Dame                   1.1461    1.1414     88.0   0.746    1.1278    295
Penn State                   1.1459    1.1413     89.7   0.749    1.1278    298
Boise State                  1.1470    1.1413     70.1   0.700    1.1278    164
Miami (OH)                   1.1477    1.1412     62.7   0.676    1.1278    218
Colorado                     1.1463    1.1410     74.4   0.713    1.1278    265
Utah                         1.1451    1.1401     73.1   0.709    1.1278    243
Ohio State                   1.1425    1.1389     92.0   0.754    1.1278    309
Syracuse                     1.1427    1.1385     75.9   0.717    1.1278    264
Oregon State                 1.1422    1.1380     73.2   0.709    1.1278    239
San Diego State              1.1419    1.1378     73.4   0.710    1.1278    242
Louisiana Tech               1.1420    1.1372     58.6   0.661    1.1278    162
Northwestern                 1.1411    1.1371     70.7   0.702    1.1278    253
Kentucky                     1.1386    1.1358     83.6   0.736    1.1278    281
UCLA                         1.1383    1.1355     82.6   0.734    1.1278    271
UCF                          1.1368    1.1340     67.4   0.692    1.1278    152
Virginia                     1.1350    1.1330     76.7   0.719    1.1278    254
Georgia                      1.1349    1.1329     75.4   0.715    1.1278    273
Coastal Carolina             1.1337    1.1309     34.0   0.531    1.1278     47
Old Dominion                 1.1332    1.1309     39.3   0.567    1.1278     59
Tennessee                    1.1309    1.1301     86.1   0.742    1.1278    301
Alabama                      1.1306    1.1299     84.3   0.737    1.1278    291
Cincinnati                   1.1303    1.1296     73.8   0.711    1.1278    222
Nebraska                     1.1292    1.1288     86.4   0.742    1.1278    299
UConn                        1.1291    1.1286     58.5   0.661    1.1278    130
Fresno State                 1.1282    1.1281     66.0   0.687    1.1278    208
Washington State             1.1274    1.1275     69.9   0.700    1.1278    238
Nevada                       1.1268    1.1271     65.8   0.687    1.1278    172
Louisiana                    1.1262    1.1267     63.6   0.679    1.1278    181
Colorado State               1.1251    1.1259     68.4   0.695    1.1278    228
Houston                      1.1239    1.1250     73.4   0.710    1.1278    244
Baylor                       1.1230    1.1244     73.2   0.709    1.1278    241
Kansas                       1.1201    1.1224     70.1   0.700    1.1278    253
